abandoned	@.b.{.n.d.@.n.d.	@.b.{.n.d.@.n.
delimited	d.i.l.I.m.I.t.I.d.	d.i.l.I.m.I.t.
delineated	d.I.l.I.n.I.1.t.I.d.	d.I.l.I.n.I.1.t.
deliquesced	".d.E.l.I.k.w.E.s.t.	".d.E.l.I.k.w.E.s.
delivered	d.I.l.I.v.@.d.	d.I.l.I.v.@.R.
deloused	".d.i.l.6.s.t.	".d.i.l.6.s.
deluded	d.I.l.u.d.I.d.	d.I.l.u.d.
deluged	d.E.l.j.u._.d.	d.E.l.j.u._.
delved	d.E.l.v.d.	d.E.l.v.
demagnetized	".d.i.m.{.g.n.I.t.2.z.d.	".d.i.m.{.g.n.I.t.2.z.
demanded	d.I.m.#.n.d.I.d.	d.I.m.#.n.d.
demarcated	d.i.m.#.k.1.t.I.d.	d.i.m.#.k.1.t.
demeaned	d.I.m.i.n.d.	d.I.m.i.n.
demented	d.I.m.E.n.t.I.d.	d.I.m.E.n.t.
demilitarized	".d.i.m.I.l.I.t.@.r.2.z.d.	".d.i.m.I.l.I.t.@.r.2.z.
demisted	".d.i.m.I.s.t.I.d.	".d.i.m.I.s.t.
demobbed	".d.i.m.Q.b.d.	".d.i.m.Q.b.
demobilized	d.i.m.5.b.I.l.2.z.d.	d.i.m.5.b.I.l.2.z.
democratized	d.I.m.Q.k.r.@.t.2.z.d.	d.I.m.Q.k.r.@.t.2.z.
demolished	d.I.m.Q.l.I.S.t.	d.I.m.Q.l.I.S.
demonetized	".d.i.m.V.n.I.t.2.z.d.	".d.i.m.V.n.I.t.2.z.
demonstrated	d.E.m.@.n.s.t.r.1.t.I.d.	d.E.m.@.n.s.t.r.1.t.
demoralized	d.I.m.Q.r.@.l.2.z.d.	d.I.m.Q.r.@.l.2.z.
demoted	".d.i.m.5.t.I.d.	".d.i.m.5.t.
demurred	d.I.m.3.d.	d.I.m.3.R.
demystified	d.i.m.I.s.t.I.f.2.d.	d.i.m.I.s.t.I.f.2.
denationalized	".d.i.n.{.S.H.@.l.2.z.d.	".d.i.n.{.S.H.@.l.2.z.
denied	d.I.n.2.d.	d.I.n.2.
denigrated	d.E.n.I.g.r.1.t.I.d.	d.E.n.I.g.r.1.t.
denominated	d.I.n.Q.m.I.n.1.t.I.d.	d.I.n.Q.m.I.n.1.t.
denoted	d.I.n.5.t.I.d.	d.I.n.5.t.
denounced	d.I.n.6.n.s.t.	d.I.n.6.n.s.
dented	d.E.n.t.I.d.	d.E.n.t.
denuded	d.I.n.j.u.d.I.d.	d.I.n.j.u.d.
denunciated	d.I.n.V.n.s.I.1.t.I.d.	d.I.n.V.n.s.I.1.t.
deodorized	d.i.5.d.@.r.2.z.d.	d.i.5.d.@.r.2.z.
departed	d.I.p.#.t.I.d.	d.I.p.#.t.
depicted	d.I.p.I.k.t.I.d.	d.I.p.I.k.t.
deplaned	".d.i.p.l.1.n.d.	".d.i.p.l.1.n.
depleted	d.I.p.l.i.t.I.d.	d.I.p.l.i.t.
deplored	d.I.p.l.$.d.	d.I.p.l.$.R.
deployed	d.I.p.l.4.d.	d.I.p.l.4.
depopulated	".d.i.p.Q.p.j.U.l.1.t.I.d.	".d.i.p.Q.p.j.U.l.1.t.
deported	d.I.p.$.t.I.d.	d.I.p.$.t.
deposed	d.I.p.5.z.d.	d.I.p.5.z.
deposited	d.I.p.Q.z.I.t.I.d.	d.I.p.Q.z.I.t.
depraved	d.I.p.r.1.v.d.	d.I.p.r.1.v.
deprecated	d.E.p.r.I.k.1.t.I.d.	d.E.p.r.I.k.1.t.
depreciated	d.I.p.r.i.S.I.1.t.I.d.	d.I.p.r.i.S.I.1.t.
depredated	d.E.p.r.I.d.1.t.I.d.	d.E.p.r.I.d.1.t.
depressed	d.I.p.r.E.s.t.	d.I.p.r.E.s.
deputed	d.I.p.j.u.t.I.d.	d.I.p.j.u.t.
deputized	d.E.p.j.U.t.2.z.d.	d.E.p.j.U.t.2.z.
derailed	d.I.r.1.l.d.	d.I.r.1.l.
deranged	d.I.r.1.n._.d.	d.I.r.1.n._.
derated	".d.i.r.1.t.I.d.	".d.i.r.1.t.
derequisitioned	".d.i.".r.E.k.w.I.z.I.S.H.d.	".d.i.".r.E.k.w.I.z.I.S.H.
derestricted	".d.i.r.I.s.t.r.I.k.t.I.d.	".d.i.r.I.s.t.r.I.k.t.
derided	d.I.r.2.d.I.d.	d.I.r.2.d.
derogated	d.E.r.5.g.1.t.I.d.	d.E.r.5.g.1.t.
desalinated	".d.i.s.{.l.I.n.1.t.I.d.	".d.i.s.{.l.I.n.1.t.
desalinized	".d.i.s.{.l.I.n.2.z.d.	".d.i.s.{.l.I.n.2.z.
desalted	".d.i.s.$.l.t.I.d.	".d.i.s.$.l.t.
descaled	".d.i.s.k.1.l.d.	".d.i.s.k.1.l.
descended	d.I.s.E.n.d.I.d.	d.I.s.E.n.d.
described	d.I.s.k.r.2.b.d.	d.I.s.k.r.2.b.
descried	d.I.s.k.r.2.d.	d.I.s.k.r.2.
desecrated	d.E.s.I.k.r.1.t.I.d.	d.E.s.I.k.r.1.t.
desegregated	".d.i.s.E.g.r.I.g.1.t.I.d.	".d.i.s.E.g.r.I.g.1.t.
desensitized	".d.i.s.E.n.s.I.t.2.z.d.	".d.i.s.E.n.s.I.t.2.z.
deserted	d.I.z.3.t.I.d.	d.I.z.3.t.
deserved	d.I.z.3.v.d.	d.I.z.3.v.
desiccated	d.E.s.I.k.1.t.I.d.	d.E.s.I.k.1.t.
designated	d.E.z.I.g.n.1.t.I.d.	d.E.z.I.g.n.1.t.
designed	d.I.z.2.n.d.	d.I.z.2.n.
desired	d.I.z.2.@.d.	d.I.z.2.@.R.
desisted	d.I.z.I.s.t.I.d.	d.I.z.I.s.t.
desolated	d.E.s.@.l.1.t.I.d.	d.E.s.@.l.1.t.
despaired	d.I.s.p.8.d.	d.I.s.p.8.R.
despised	d.I.s.p.2.z.d.	d.I.s.p.2.z.
despoiled	d.I.s.p.4.l.d.	d.I.s.p.4.l.
desponded	d.I.s.p.Q.n.d.I.d.	d.I.s.p.Q.n.d.
destined	d.E.s.t.I.n.d.	d.E.s.t.I.n.
destroyed	d.I.s.t.r.4.d.	d.I.s.t.r.4.
destructed	d.I.s.t.r.V.k.t.I.d.	d.I.s.t.r.V.k.t.
detached	d.I.t.{.J.t.	d.I.t.{.J.
detailed	d.i.t.1.l.d.	d.i.t.1.l.
detained	d.I.t.1.n.d.	d.I.t.1.n.
detected	d.I.t.E.k.t.I.d.	d.I.t.E.k.t.
deteriorated	d.I.t.7.r.7.r.1.t.I.d.	d.I.t.7.r.7.r.1.t.
determined	d.I.t.3.m.I.n.d.	d.I.t.3.m.I.n.
deterred	d.I.t.3.d.	d.I.t.3.R.
detested	d.I.t.E.s.t.I.d.	d.I.t.E.s.t.
dethroned	d.I.T.r.5.n.d.	d.I.T.r.5.n.
detonated	d.E.t.@.n.1.t.I.d.	d.E.t.@.n.1.t.
detoured	d.i.".t.9.d.	d.i.".t.9.R.
detrained	".d.i.t.r.1.n.d.	".d.i.t.r.1.n.
detribalized	".d.i.t.r.2.b.@.l.2.z.d.	".d.i.t.r.2.b.@.l.2.z.
devaluated	d.i.v.{.l.j.u.1.t.I.d.	d.i.v.{.l.j.u.1.t.
devalued	".d.i.v.{.l.j.u.d.	".d.i.v.{.l.j.u.
devastated	d.E.v.@.s.t.1.t.I.d.	d.E.v.@.s.t.1.t.
developed	d.I.v.E.l.@.p.t.	d.I.v.E.l.@.p.
deviated	d.i.v.I.1.t.I.d.	d.i.v.I.1.t.
devilled	d.E.v.P.d.	d.E.v.P.
devised	d.I.v.2.z.d.	d.I.v.2.z.
devitalized	".d.i.v.2.t.@.l.2.z.d.	".d.i.v.2.t.@.l.2.z.
devoured	d.I.v.6.@.d.	d.I.v.6.@.R.
diagnosed	d.2.@.g.n.5.z.d.	d.2.@.g.n.5.z.
dialled	d.2.@.l.d.	d.2.@.l.
dibbed	d.I.b.d.	d.I.b.
dibbled	d.I.b.P.d.	d.I.b.P.
diced	d.2.s.t.	d.2.s.
dickered	d.I.k.@.d.	d.I.k.@.R.
dictated	d.I.k.t.1.t.I.d.	d.I.k.t.1.t.
did	d.I.d.	d.u.
diddled	d.I.d.P.d.	d.I.d.P.
died	d.2.d.	d.2.
dieted	d.2.@.t.I.d.	d.2.@.t.
differed	d.I.f.@.d.	d.I.f.@.R.
differentiated	".d.I.f.@.r.E.n.S.I.1.t.I.d.	".d.I.f.@.r.E.n.S.I.1.t.
diffracted	d.I.f.r.{.k.t.I.d.	d.I.f.r.{.k.t.
diffused	d.I.f.j.u.z.d.	d.I.f.j.u.z.
digested	d.I._.E.s.t.I.d.	d.I._.E.s.t.
dignified	d.I.g.n.I.f.2.d.	d.I.g.n.I.f.2.
digressed	d.2.g.r.E.s.t.	d.2.g.r.E.s.
diked	d.2.k.t.	d.2.k.
dilapidated	d.I.l.{.p.I.d.1.t.I.d.	d.I.l.{.p.I.d.1.t.
dilated	d.2.l.1.t.I.d.	d.2.l.1.t.
dilly-dallied	d.I.l.I.".d.{.l.I.d.	d.I.l.I.".d.{.l.I.
diluted	d.2.l.j.u.t.I.d.	d.2.l.j.u.t.
diminished	d.I.m.I.n.I.S.t.	d.I.m.I.n.I.S.
dimmed	d.I.m.d.	d.I.m.
dimpled	d.I.m.p.P.d.	d.I.m.p.P.
dined	d.2.n.d.	d.2.n.
dinned	d.I.n.d.	d.I.n.
dipped	d.I.p.t.	d.I.p.
directed	d.I.r.E.k.t.I.d.	d.I.r.E.k.t.
dirtied	d.3.t.I.d.	d.3.t.I.
disabled	d.I.s.1.b.P.d.	d.I.s.1.b.P.
disabused	".d.I.s.@.b.j.u.z.d.	".d.I.s.@.b.j.u.z.
disaffected	".d.I.s.@.f.E.k.t.I.d.	".d.I.s.@.f.E.k.t.
disaffiliated	".d.I.s.@.f.I.l.I.1.t.I.d.	".d.I.s.@.f.I.l.I.1.t.
disafforested	".d.I.s.@.f.Q.r.I.s.t.I.d.	".d.I.s.@.f.Q.r.I.s.t.
disagreed	".d.I.s.@.g.r.i.d.	".d.I.s.@.g.r.i.
disallowed	".d.I.s.@.l.6.d.	".d.I.s.@.l.6.
disappeared	".d.I.s.@.p.7.d.	".d.I.s.@.p.7.R.
disappointed	".d.I.s.@.p.4.n.t.I.d.	".d.I.s.@.p.4.n.t.
disapproved	".d.I.s.@.p.r.u.v.d.	".d.I.s.@.p.r.u.v.
disarmed	d.I.s.#.m.d.	d.I.s.#.m.
disarranged	".d.I.s.@.r.1.n._.d.	".d.I.s.@.r.1.n._.
disarrayed	".d.I.s.@.r.1.d.	".d.I.s.@.r.1.
disassociated	".d.I.s.@.s.5.S.I.1.t.I.d.	".d.I.s.@.s.5.S.I.1.t.
disavowed	".d.I.s.@.v.6.d.	".d.I.s.@.v.6.
disbanded	d.I.s.b.{.n.d.I.d.	d.I.s.b.{.n.d.
disbarred	d.I.s.b.#.d.	d.I.s.b.#.R.
disbelieved	".d.I.s.b.I.l.i.v.d.	".d.I.s.b.I.l.i.v.
disbudded	d.I.s.b.V.d.I.d.	d.I.s.b.V.d.
disburdened	d.I.s.b.3.d.H.d.	d.I.s.b.3.d.H.
disbursed	d.I.s.b.3.s.t.	d.I.s.b.3.s.
discarded	d.I.s.k.#.d.I.d.	d.I.s.k.#.d.
discerned	d.I.s.3.n.d.	d.I.s.3.n.
discharged	d.I.s.J.#._.d.	d.I.s.J.#._.
disciplined	d.I.s.I.p.l.I.n.d.	d.I.s.I.p.l.I.n.
disclaimed	d.I.s.k.l.1.m.d.	d.I.s.k.l.1.m.
disclosed	d.I.s.k.l.5.z.d.	d.I.s.k.l.5.z.
discoloured	d.I.s.k.V.l.@.d.	d.I.s.k.V.l.@.R.
discomfited	d.I.s.k.V.m.f.I.t.I.d.	d.I.s.k.V.m.f.I.t.
discommoded	".d.I.s.k.@.m.5.d.I.d.	".d.I.s.k.@.m.5.d.
discomposed	".d.I.s.k.@.m.p.5.z.d.	".d.I.s.k.@.m.p.5.z.
disconcerted	".d.I.s.k.@.n.s.3.t.I.d.	".d.I.s.k.@.n.s.3.t.
disconnected	".d.I.s.k.@.n.E.k.t.I.d.	".d.I.s.k.@.n.E.k.t.
discontented	".d.I.s.k.@.n.t.E.n.t.I.d.	".d.I.s.k.@.n.t.E.n.t.
discontinued	".d.I.s.k.@.n.t.I.n.j.u.d.	".d.I.s.k.@.n.t.I.n.j.u.
discounted	d.I.s.k.6.n.t.I.d.	d.I.s.k.6.n.t.
discountenanced	d.I.s.k.6.n.t.I.n.@.n.s.t.	d.I.s.k.6.n.t.I.n.@.n.s.
discouraged	d.I.s.k.V.r.I._.d.	d.I.s.k.V.r.I._.
discovered	d.I.s.k.V.v.@.d.	d.I.s.k.V.v.@.R.
discredited	d.I.s.k.r.E.d.I.t.I.d.	d.I.s.k.r.E.d.I.t.
discriminated	d.I.s.k.r.I.m.I.n.1.t.I.d.	d.I.s.k.r.I.m.I.n.1.t.
discussed	d.I.s.k.V.s.t.	d.I.s.k.V.s.
disdained	d.I.s.d.1.n.d.	d.I.s.d.1.n.
disembarked	".d.I.s.I.m.b.#.k.t.	".d.I.s.I.m.b.#.k.
disembodied	".d.I.s.I.m.b.Q.d.I.d.	".d.I.s.I.m.b.Q.d.I.
disembowelled	".d.I.s.I.m.b.6.@.l.d.	".d.I.s.I.m.b.6.@.l.
disembroiled	".d.I.s.I.m.b.r.4.l.d.	".d.I.s.I.m.b.r.4.l.
disenchanted	".d.I.s.I.n.J.#.n.t.I.d.	".d.I.s.I.n.J.#.n.t.
disencumbered	".d.I.s.I.n.k.V.m.b.@.d.	".d.I.s.I.n.k.V.m.b.@.R.
disendowed	".d.I.s.I.n.d.6.d.	".d.I.s.I.n.d.6.
disenfranchised	".d.I.s.I.n.f.r.{.n.J.2.z.d.	".d.I.s.I.n.f.r.{.n.J.2.z.
disengaged	".d.I.s.I.n.g.1._.d.	".d.I.s.I.n.g.1._.
disentangled	".d.I.s.I.n.t.{.N.g.P.d.	".d.I.s.I.n.t.{.N.g.P.
disestablished	".d.I.s.I.s.t.{.b.l.I.S.t.	".d.I.s.I.s.t.{.b.l.I.S.
disfavoured	".d.I.s.f.1.v.@.d.	".d.I.s.f.1.v.@.R.
disfigured	d.I.s.f.I.g.@.d.	d.I.s.f.I.g.@.R.
disforested	".d.I.s.f.Q.r.I.s.t.I.d.	".d.I.s.f.Q.r.I.s.t.
disfranchised	".d.I.s.f.r.{.n.J.2.z.d.	".d.I.s.f.r.{.n.J.2.z.
disfrocked	".d.I.s.f.r.Q.k.t.	".d.I.s.f.r.Q.k.
disgorged	d.I.s.g.$._.d.	d.I.s.g.$._.
disgraced	d.I.s.g.r.1.s.t.	d.I.s.g.r.1.s.
disgruntled	d.I.s.g.r.V.n.t.P.d.	d.I.s.g.r.V.n.t.P.
disguised	d.I.s.g.2.z.d.	d.I.s.g.2.z.
disgusted	d.I.s.g.V.s.t.I.d.	d.I.s.g.V.s.t.
disheartened	d.I.s.h.#.t.H.d.	d.I.s.h.#.t.H.
dished	d.I.S.t.	d.I.S.
dishonoured	d.I.s.Q.n.@.d.	d.I.s.Q.n.@.R.
dishorned	d.I.s.h.$.n.d.	d.I.s.h.$.n.
disillusioned	".d.I.s.I.l.u.Z.H.d.	".d.I.s.I.l.u.Z.H.
disinclined	".d.I.s.I.n.k.l.2.n.d.	".d.I.s.I.n.k.l.2.n.
disinfected	".d.I.s.I.n.f.E.k.t.I.d.	".d.I.s.I.n.f.E.k.t.
disinfested	".d.I.s.I.n.f.E.s.t.I.d.	".d.I.s.I.n.f.E.s.t.
disinherited	".d.I.s.I.n.h.E.r.I.t.I.d.	".d.I.s.I.n.h.E.r.I.t.
disintegrated	d.I.s.I.n.t.I.g.r.1.t.I.d.	d.I.s.I.n.t.I.g.r.1.t.
disinterred	".d.I.s.I.n.t.3.d.	".d.I.s.I.n.t.3.R.
disjointed	d.I.s._.4.n.t.I.d.	d.I.s._.4.n.t.
disliked	d.I.s.l.2.k.t.	d.I.s.l.2.k.
dislocated	d.I.s.l.5.k.1.t.I.d.	d.I.s.l.5.k.1.t.
dislodged	d.I.s.l.Q._.d.	d.I.s.l.Q._.
dismantled	d.I.s.m.{.n.t.P.d.	d.I.s.m.{.n.t.P.
dismasted	".d.I.s.m.#.s.t.I.d.	".d.I.s.m.#.s.t.
dismayed	d.I.s.m.1.d.	d.I.s.m.1.
dismembered	d.I.s.m.E.m.b.@.d.	d.I.s.m.E.m.b.@.R.
dismissed	d.I.s.m.I.s.t.	d.I.s.m.I.s.
dismounted	".d.I.s.m.6.n.t.I.d.	".d.I.s.m.6.n.t.
disobeyed	".d.I.s.@.b.1.d.	".d.I.s.@.b.1.
disobliged	".d.I.s.@.b.l.2._.d.	".d.I.s.@.b.l.2._.
disordered	d.I.s.$.d.@.d.	d.I.s.$.d.@.R.
disorganized	d.I.s.$.g.@.n.2.z.d.	d.I.s.$.g.@.n.2.z.
disorientated	d.I.s.$.r.7.n.t.1.t.I.d.	d.I.s.$.r.7.n.t.1.t.
disoriented	d.I.s.$.r.7.n.t.I.d.	d.I.s.$.r.7.n.t.
disowned	d.I.s.5.n.d.	d.I.s.5.n.
disparaged	d.I.s.p.{.r.I._.d.	d.I.s.p.{.r.I._.
dispatched	d.I.s.p.{.J.t.	d.I.s.p.{.J.
dispelled	d.I.s.p.E.l.d.	d.I.s.p.E.l.
dispensed	d.I.s.p.E.n.s.t.	d.I.s.p.E.n.s.
dispersed	d.I.s.p.3.s.t.	d.I.s.p.3.s.
dispirited	d.I.s.p.I.r.I.t.I.d.	d.I.s.p.I.r.I.t.
displaced	d.I.s.p.l.1.s.t.	d.I.s.p.l.1.s.
displayed	d.I.s.p.l.1.d.	d.I.s.p.l.1.
displeased	d.I.s.p.l.i.z.d.	d.I.s.p.l.i.z.
disported	d.I.s.p.$.t.I.d.	d.I.s.p.$.t.
disposed	d.I.s.p.5.z.d.	d.I.s.p.5.z.
dispossessed	".d.I.s.p.@.z.E.s.t.	".d.I.s.p.@.z.E.s.
disproved	".d.I.s.p.r.u.v.d.	".d.I.s.p.r.u.v.
disputed	d.I.s.p.j.u.t.I.d.	d.I.s.p.j.u.t.
disqualified	d.I.s.k.w.Q.l.I.f.2.d.	d.I.s.k.w.Q.l.I.f.2.
disquieted	d.I.s.k.w.2.@.t.I.d.	d.I.s.k.w.2.@.t.
disregarded	".d.I.s.r.I.g.#.d.I.d.	".d.I.s.r.I.g.#.d.
disrelished	d.I.s.r.E.l.I.S.t.	d.I.s.r.E.l.I.S.
disremembered	".d.I.s.r.I.m.E.m.b.@.d.	".d.I.s.r.I.m.E.m.b.@.R.
disrobed	".d.I.s.r.5.b.d.	".d.I.s.r.5.b.
disrupted	d.I.s.r.V.p.t.I.d.	d.I.s.r.V.p.t.
dissatisfied	".d.I.s.s.{.t.I.s.f.2.d.	".d.I.s.s.{.t.I.s.f.2.
dissected	d.I.s.E.k.t.I.d.	d.I.s.E.k.t.
dissembled	d.I.s.E.m.b.P.d.	d.I.s.E.m.b.P.
disseminated	d.I.s.E.m.I.n.1.t.I.d.	d.I.s.E.m.I.n.1.t.
dissented	d.I.s.E.n.t.I.d.	d.I.s.E.n.t.
dissevered	d.I.s.s.E.v.@.d.	d.I.s.s.E.v.@.R.
dissimulated	d.I.s.I.m.j.U.l.1.t.I.d.	d.I.s.I.m.j.U.l.1.t.
dissipated	d.I.s.I.p.1.t.I.d.	d.I.s.I.p.1.t.
dissociated	d.I.s.5.S.I.1.t.I.d.	d.I.s.5.S.I.1.t.
dissolved	d.I.z.Q.l.v.d.	d.I.z.Q.l.v.
dissuaded	d.I.s.w.1.d.I.d.	d.I.s.w.1.d.
distanced	d.I.s.t.@.n.s.t.	d.I.s.t.@.n.s.
distempered	d.I.s.t.E.m.p.@.d.	d.I.s.t.E.m.p.@.R.
distended	d.I.s.t.E.n.d.I.d.	d.I.s.t.E.n.d.
distilled	d.I.s.t.I.l.d.	d.I.s.t.I.l.
distinguished	d.I.s.t.I.N.g.w.I.S.t.	d.I.s.t.I.N.g.w.I.S.
distorted	d.I.s.t.$.t.I.d.	d.I.s.t.$.t.
distracted	d.I.s.t.r.{.k.t.I.d.	d.I.s.t.r.{.k.t.
distrained	d.I.s.t.r.1.n.d.	d.I.s.t.r.1.n.
distressed	d.I.s.t.r.E.s.t.	d.I.s.t.r.E.s.
distributed	d.I.s.t.r.I.b.j.u.t.I.d.	d.I.s.t.r.I.b.j.u.t.
distrusted	d.I.s.t.r.V.s.t.I.d.	d.I.s.t.r.V.s.t.
disturbed	d.I.s.t.3.b.d.	d.I.s.t.3.b.
disunited	".d.I.s.j.u.n.2.t.I.d.	".d.I.s.j.u.n.2.t.
ditched	d.I.J.t.	d.I.J.
dithered	d.I.D.@.d.	d.I.D.@.R.
divagated	d.2.v.@.g.1.t.I.d.	d.2.v.@.g.1.t.
dive-bombed	d.2.v.b.Q.m.d.	d.2.v.b.Q.m.
dived	d.2.v.d.	d.2.v.
diverged	d.2.v.3._.d.	d.2.v.3._.
diversified	d.2.v.3.s.I.f.2.d.	d.2.v.3.s.I.f.2.
diverted	d.2.v.3.t.I.d.	d.2.v.3.t.
divided	d.I.v.2.d.I.d.	d.I.v.2.d.
divined	d.I.v.2.n.d.	d.I.v.2.n.
divorced	d.I.v.$.s.t.	d.I.v.$.s.
divulged	d.2.v.V.l._.d.	d.2.v.V.l._.
divvied	d.I.v.I.d.	d.I.v.I.
dizzied	d.I.z.I.d.	d.I.z.I.
docked	d.Q.k.t.	d.Q.k.
docked	d.Q.k.t.	d.Q.k.
docketed	d.Q.k.I.t.I.d.	d.Q.k.I.t.
doctored	d.Q.k.t.@.d.	d.Q.k.t.@.R.
documented	d.Q.k.j.U.m.E.n.t.I.d.	d.Q.k.j.U.m.E.n.t.
doddered	d.Q.d.@.d.	d.Q.d.@.R.
dodged	d.Q._.d.	d.Q._.
doffed	d.Q.f.t.	d.Q.f.
dogged	d.Q.g.d.	d.Q.g.
dogmatized	d.Q.g.m.@.t.2.z.d.	d.Q.g.m.@.t.2.z.
domesticated	d.5.m.E.s.t.I.k.1.t.I.d.	d.5.m.E.s.t.I.k.1.t.
domiciled	d.Q.m.I.s.2.l.d.	d.Q.m.I.s.2.l.
dominated	d.Q.m.I.n.1.t.I.d.	d.Q.m.I.n.1.t.
domineered	".d.Q.m.I.n.7.d.	".d.Q.m.I.n.7.R.
donated	d.5.n.1.t.I.d.	d.5.n.1.t.
donned	d.Q.n.d.	d.Q.n.
doodled	d.u.d.P.d.	d.u.d.P.
doomed	d.u.m.d.	d.u.m.
doped	d.5.p.t.	d.5.p.
dosed	d.5.s.t.	d.5.s.
dotted	d.Q.t.I.d.	d.Q.t.
double-checked	".d.V.b.P.J.E.k.t.	".d.V.b.P.J.E.k.
double-clutched	d.V.b.P.k.l.V.J.t.	d.V.b.P.k.l.V.J.
double-crossed	".d.V.b.P.k.r.Q.s.t.	".d.V.b.P.k.r.Q.s.
doubled	d.V.b.P.d.	d.V.b.P.
double-declutched	".d.V.b.P.d.i.k.l.V.J.t.	".d.V.b.P.d.i.k.l.V.J.
double-glazed	".d.V.b.P.g.l.1.z.d.	".d.V.b.P.g.l.1.z.
double-stopped	".d.V.b.P.s.t.Q.p.t.	".d.V.b.P.s.t.Q.p.
double-talked	d.V.b.P.t.$.k.t.	d.V.b.P.t.$.k.
doubted	d.6.t.I.d.	d.6.t.
doused	d.6.s.t.	d.6.s.
dove	d.5.v.	d.2.v.
dovetailed	d.V.v.t.1.l.d.	d.V.v.t.1.l.
dowered	d.6.@.d.	d.6.@.R.
downed	d.6.n.d.	d.6.n.
downgraded	d.6.n.g.r.1.d.I.d.	d.6.n.g.r.1.d.
dowsed	d.6.z.d.	d.6.z.
dozed	d.5.z.d.	d.5.z.
drafted	d.r.#.f.t.I.d.	d.r.#.f.t.
dragged	d.r.{.g.d.	d.r.{.g.
draggled	d.r.{.g.P.d.	d.r.{.g.P.
drained	d.r.1.n.d.	d.r.1.n.
dramatized	d.r.{.m.@.t.2.z.d.	d.r.{.m.@.t.2.z.
drank	d.r.{.N.k.	d.r.I.N.k.
draped	d.r.1.p.t.	d.r.1.p.
dratted	d.r.{.t.I.d.	d.r.{.t.
drawled	d.r.$.l.d.	d.r.$.l.
dreaded	d.r.E.d.I.d.	d.r.E.d.
dreamed	d.r.i.m.d.	d.r.i.m.
dreamt	d.r.E.m.t.	d.r.i.m.
dredged	d.r.E._.d.	d.r.E._.
dredged	d.r.E._.d.	d.r.E._.
drenched	d.r.E.n.J.t.	d.r.E.n.J.
dressed	d.r.E.s.t.	d.r.E.s.
drew	d.r.u.	d.r.$.
dribbled	d.r.I.b.P.d.	d.r.I.b.P.
dried	d.r.2.d.	d.r.2.
drifted	d.r.I.f.t.I.d.	d.r.I.f.t.
drilled	d.r.I.l.d.	d.r.I.l.
drip-dried	".d.r.I.p.d.r.2.d.	".d.r.I.p.d.r.2.
dripped	d.r.I.p.t.	d.r.I.p.
drivelled	d.r.I.v.P.d.	d.r.I.v.P.
drizzled	d.r.I.z.P.d.	d.r.I.z.P.
droned	d.r.5.n.d.	d.r.5.n.
drooled	d.r.u.l.d.	d.r.u.l.
drooped	d.r.u.p.t.	d.r.u.p.
dropkicked	d.r.Q.p.".k.I.k.t.	d.r.Q.p.".k.I.k.
dropped	d.r.Q.p.t.	d.r.Q.p.
drove	d.r.5.v.	d.r.2.v.
drowned	d.r.6.n.d.	d.r.6.n.
drowsed	d.r.6.z.d.	d.r.6.z.
drubbed	d.r.V.b.d.	d.r.V.b.
drudged	d.r.V._.d.	d.r.V._.
drugged	d.r.V.g.d.	d.r.V.g.
drummed	d.r.V.m.d.	d.r.V.m.
dry-cleaned	".d.r.2.k.l.i.n.d.	".d.r.2.k.l.i.n.
dubbed	d.V.b.d.	d.V.b.
dubbined	d.V.b.I.n.d.	d.V.b.I.n.
ducked	d.V.k.t.	d.V.k.
duelled	d.j.u.@.l.d.	d.j.u.@.l.
dug	d.V.g.	d.I.g.
dulled	d.V.l.d.	d.V.l.
dumbfounded	d.V.m.f.6.n.d.I.d.	d.V.m.f.6.n.d.
dumped	d.V.m.p.t.	d.V.m.p.
dunked	d.V.N.k.t.	d.V.N.k.
dunned	d.V.n.d.	d.V.n.
duped	d.j.u.p.t.	d.j.u.p.
duplicated	d.j.u.p.l.I.k.1.t.I.d.	d.j.u.p.l.I.k.1.t.
durst	d.3.s.t.	d.8.R.
dusted	d.V.s.t.I.d.	d.V.s.t.
dwarfed	d.w.$.f.t.	d.w.$.f.
dwelled	d.w.E.l.d.	d.w.E.l.
dwelt	d.w.E.l.t.	d.w.E.l.
dwindled	d.w.I.n.d.P.d.	d.w.I.n.d.P.
dyed	d.2.d.	d.2.
dynamited	d.2.n.@.m.2.t.I.d.	d.2.n.@.m.2.t.
earmarked	7.m.#.k.t.	7.m.#.k.
earned	3.n.d.	3.n.
earthed	3.T.t.	3.T.
eased	i.z.d.	i.z.
eavesdropped	i.v.z.d.r.Q.p.t.	i.v.z.d.r.Q.p.
ebbed	E.b.d.	E.b.
echoed	E.k.5.d.	E.k.5.
eclipsed	I.k.l.I.p.s.t.	I.k.l.I.p.s.
economized	I.k.Q.n.@.m.2.z.d.	I.k.Q.n.@.m.2.z.
eddied	E.d.I.d.	E.d.I.
edged	E._.d.	E._.
edified	E.d.I.f.2.d.	E.d.I.f.2.
edited	E.d.I.t.I.d.	E.d.I.t.
editorialized	".E.d.I.t.$.r.7.l.2.z.d.	".E.d.I.t.$.r.7.l.2.z.
educated	E._.U.k.1.t.I.d.	E._.U.k.1.t.
educed	i.d.j.u.s.t.	i.d.j.u.s.
effaced	I.f.1.s.t.	I.f.1.s.
